LATITUDE,LONGITUDE,YEAR,DATE,CLASSIFICATION,IMPACT_TYPE,ROAD_CONDITION,ENVIRONMENT,LIGHT,PEDESTRIANS,BICYCLES,MOTORCYCLES,INJURIES,FATAL,MAJOR,MINOR
45.407695929697965,-75.70357427206005,2022,1/12/2022,03 - P.D. only,05 - Turning movement,03 - Loose snow,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.36528313635384,-75.73082078291598,2022,1/12/2022,03 - P.D. only,03 - Rear end,03 - Loose snow,03 - Snow,01 - Daylight,0,0,0,0,0,0,0
45.33784435958654,-75.68515669412962,2022,1/12/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.34018935183932,-75.72719588001925,2022,1/12/2022,03 - P.D. only,02 - Angle,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.41761474490164,-75.69313916463982,2022,1/12/2022,03 - P.D. only,99 - Other,03 - Loose snow,03 - Snow,01 - Daylight,0,0,0,0,0,0,0
45.43614729871737,-75.66144553676146,2022,1/12/2022,02 - Non-fatal injury,01 - Approaching,04 - Slush,03 - Snow,07 - Dark,0,0,0,2,0,0,1
45.378671277694856,-75.72694480575417,2022,1/12/2022,03 - P.D. only,06 - SMV unattended vehicle,02 - Wet,01 - Clear,07 - Dark,0,0,0,0,0,0,0
45.25447313244175,-76.10967171961897,2022,1/13/2022,03 - P.D. only,07 - SMV other,03 - Loose snow,03 - Snow,07 - Dark,0,0,0,0,0,0,0
45.31989093739565,-75.80442140703317,2022,1/13/2022,03 - P.D. only,07 - SMV other,02 - Wet,03 - Snow,07 - Dark,0,0,0,0,0,0,0
45.232595220445695,-75.49837323662204,2022,1/13/2022,03 - P.D. only,07 - SMV other,01 - Dry,01 - Clear,07 - Dark,0,0,0,0,0,0,0
45.27137299320609,-75.96236224395436,2022,1/13/2022,03 - P.D. only,02 - Angle,02 - Wet,01 - Clear,03 - Dawn,0,0,0,0,0,0,0
45.40069998996991,-75.61780126886367,2022,1/12/2022,03 - P.D. only,06 - SMV unattended vehicle,03 - Loose snow,03 - Snow,07 - Dark,0,0,0,0,0,0,0
45.24506504436494,-75.45120257848185,2022,1/13/2022,03 - P.D. only,05 - Turning movement,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.366359878731146,-75.66077129829907,2022,1/7/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,05 - Dusk,0,0,0,0,0,0,0
45.38380166288242,-75.63034056196416,2022,1/13/2022,03 - P.D. only,03 - Rear end,04 - Slush,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.48355406345644,-75.50105057622507,2022,1/13/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.39454075516111,-75.68670417041088,2022,1/12/2022,03 - P.D. only,06 - SMV unattended vehicle,04 - Slush,03 - Snow,00 - Unknown,0,0,0,0,0,0,0
45.429397060583604,-75.62355123597675,2022,1/6/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.44110340848854,-75.64681951226535,2022,1/13/2022,03 - P.D. only,04 - Sideswipe,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.38019734663892,-75.66835764618328,2022,1/13/2022,02 - Non-fatal injury,07 - SMV other,01 - Dry,01 - Clear,01 - Daylight,1,0,0,2,0,0,2
45.40903850100242,-75.71200449008154,2022,1/3/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.42303265230184,-75.62841937277751,2022,1/13/2022,03 - P.D. only,02 - Angle,02 - Wet,07 - Fog, mist, smoke, dust,01 - Daylight,0,0,0,0,0,0,0
45.357504891906395,-75.6539732988688,2022,1/13/2022,03 - P.D. only,02 - Angle,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.29850892093886,-75.73134399086885,2022,1/13/2022,03 - P.D. only,02 - Angle,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.3834472201591,-75.73955144985295,2022,1/13/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.41059368522435,-75.68946414927031,2022,1/13/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.43108847373677,-75.66392992196069,2022,1/13/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,05 - Dusk,0,0,0,0,0,0,0
45.43864939371408,-76.23190371135664,2022,1/13/2022,03 - P.D. only,07 - SMV other,01 - Dry,01 - Clear,05 - Dusk,0,0,0,0,0,0,0
45.42834640949434,-75.63289007789982,2022,1/13/2022,02 - Non-fatal injury,07 - SMV other,02 - Wet,01 - Clear,07 - Dark,1,0,0,1,0,0,0
45.28165053217959,-75.93185225713131,2022,1/13/2022,03 - P.D. only,07 - SMV other,06 - Ice,03 - Snow,07 - Dark,0,0,0,0,0,0,0
45.26677396623651,-75.60032152360331,2022,1/14/2022,03 - P.D. only,04 - Sideswipe,01 - Dry,01 - Clear,07 - Dark,0,0,0,0,0,0,0
45.247903087287504,-75.91227692181178,2022,1/14/2022,03 - P.D. only,02 - Angle,01 - Dry,01 - Clear,03 - Dawn,0,0,0,0,0,0,0
45.418985681656594,-75.67739610975964,2022,1/14/2022,03 - P.D. only,07 - SMV other,06 - Ice,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.434489869001986,-75.66574577390817,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.34018935183932,-75.72719588001925,2022,1/14/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.46863506490537,-75.53020491992646,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.44913779562833,-75.59011181258232,2022,1/14/2022,02 - Non-fatal injury,02 - Angle,02 - Wet,01 - Clear,01 - Daylight,0,0,0,1,0,0,1
45.37758405832681,-75.68102331566297,2022,1/14/2022,03 - P.D. only,05 - Turning movement,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.26965831680948,-75.94185900619138,2022,1/14/2022,03 - P.D. only,03 - Rear end,02 - Wet,01 - Clear,03 - Dawn,0,0,0,0,0,0,0
45.32869809243524,-75.74897235324924,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.40665449391327,-75.62748607242148,2022,1/14/2022,02 - Non-fatal injury,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,1,0,0,1
45.299177655761916,-75.90386242959599,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.36374603498281,-75.74235239280324,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
45.32218387768097,-75.7770064233478,2022,1/14/2022,03 - P.D. only,03 - Rear end,01 - Dry,01 - Clear,01 - Daylight,0,0,0,0,0,0,0
